"date";"server";"position";"name";"race";"points"
"2025-12-31";"R1";"82";"Rahinim";"DAMNÉ";"917517"
"2025-12-31";"R1";"83";"Argentoratum";"ABSORBEUR";"896843"
"2025-12-31";"R1";"84";"tatian";"ABSORBEUR";"892990"
"2025-12-31";"R1";"85";"furby";"ABSORBEUR";"845975"
"2025-12-31";"R1";"86";"Sinwar";"DAMNÉ";"845830"
"2025-12-31";"R1";"87";"Dark Oblivion";"ABSORBEUR";"834522"
"2025-12-31";"R1";"88";"very";"DAMNÉ";"744773"
"2025-12-31";"R1";"89";"Arjuna";"CAPTEUR D’ESPRIT";"676563"
"2025-12-31";"R1";"90";"anargh";"CULTISTE";"637631"
"2025-12-31";"R1";"91";"pichon";"ABSORBEUR";"587380"
"2025-12-31";"R1";"92";"Démonbubul";"CULTISTE";"537106"
"2025-12-31";"R1";"93";"Hieros";"CULTISTE";"463474"
"2025-12-31";"R1";"94";"Argawaen";"CAPTEUR D’ESPRIT";"443354"
"2025-12-31";"R1";"95";"OldMaster";"ABSORBEUR";"429991"
"2025-12-31";"R1";"96";"monti";"ABSORBEUR";"409454"
"2025-12-31";"R1";"97";"Ellandir";"ABSORBEUR";"406988"
"2025-12-31";"R1";"98";"Chameleon";"CULTISTE";"399533"
"2025-12-31";"R1";"99";"DeepThroat";"ABSORBEUR";"389086"
"2025-12-31";"R1";"100";"Aiolios";"DAMNÉ";"379659"
"2025-12-31";"R1";"101";"dieu32";"DAMNÉ";"369694"
"2025-12-31";"R1";"102";"tara2";"CULTISTE";"359956"
"2025-12-31";"R1";"103";"elemak";"CULTISTE";"337678"
"2025-12-31";"R1";"104";"Gilgameš";"ABSORBEUR";"326068"
"2025-12-31";"R1";"105";"Kengo";"CULTISTE";"325891"
"2025-12-31";"R1";"106";"Defqon.1";"ABSORBEUR";"319597"
"2025-12-31";"R1";"107";"Blue_Dragonne";"CAPTEUR D’ESPRIT";"308539"
"2025-12-31";"R1";"108";"Calantha";"CAPTEUR D’ESPRIT";"305150"
"2025-12-31";"R1";"109";"demone666";"SEIGNEUR DES BÊTES";"294640"
"2025-12-31";"R1";"110";"Nyhu";"ABSORBEUR";"278454"
"2025-12-31";"R1";"111";"Fyloulik";"CAPTEUR D’ESPRIT";"261854"
"2025-12-31";"R1";"112";"Destiny";"DAMNÉ";"252323"
"2025-12-31";"R1";"113";"Malsaint";"ABSORBEUR";"246460"
"2025-12-31";"R1";"114";"Blademan";"DAMNÉ";"245220"
"2025-12-31";"R1";"115";"Nym";"ABSORBEUR";"242800"
"2025-12-31";"R1";"116";"laguile";"SEIGNEUR DES BÊTES";"239591"
"2025-12-31";"R1";"117";"pierre1098";"DAMNÉ";"231968"
"2025-12-31";"R1";"118";"Tyr60";"DAMNÉ";"227900"
"2025-12-31";"R1";"119";"zombie666";"SEIGNEUR DES BÊTES";"222015"
"2025-12-31";"R1";"120";"bubul666";"ABSORBEUR";"216806"
"2025-12-31";"R1";"121";"alban";"CULTISTE";"212994"
"2025-12-31";"R1";"122";"Katarina";"DAMNÉ";"206644"
"2025-12-31";"R1";"123";"Trillian";"ABSORBEUR";"205202"
"2025-12-31";"R1";"124";"detesta";"ABSORBEUR";"202832"
"2025-12-31";"R1";"125";"bartus";"ABSORBEUR";"201339"
"2025-12-31";"R1";"126";"Ryuk14";"DAMNÉ";"195945"
"2025-12-31";"R1";"127";"matador";"DAMNÉ";"182862"
"2025-12-31";"R1";"128";"Trafalgar D WaterLaw";"SEIGNEUR DES BÊTES";"179733"
"2025-12-31";"R1";"129";"skoriusback";"CAPTEUR D’ESPRIT";"177753"
"2025-12-31";"R1";"130";"Anarion";"ABSORBEUR";"176774"
"2025-12-31";"R1";"131";"Suky";"ABSORBEUR";"168632"
"2025-12-31";"R1";"132";"Octavia";"DAMNÉ";"166367"
"2025-12-31";"R1";"133";"torktotcia";"SEIGNEUR DES BÊTES";"160056"
"2025-12-31";"R1";"134";"Laminateur";"DAMNÉ";"157779"
"2025-12-31";"R1";"135";"Meliodas";"ABSORBEUR";"155549"
"2025-12-31";"R1";"136";"letrans";"ABSORBEUR";"152312"
"2025-12-31";"R1";"137";"frezze";"DAMNÉ";"145903"
"2025-12-31";"R1";"138";"attila311";"SEIGNEUR DES BÊTES";"144557"
"2025-12-31";"R1";"139";"petitelfe";"CAPTEUR D’ESPRIT";"142026"
"2025-12-31";"R1";"140";"cheva";"DAMNÉ";"139532"
"2025-12-31";"R1";"141";"Aelena";"ABSORBEUR";"133688"
"2025-12-31";"R1";"142";"Napoleon";"CULTISTE";"131499"
"2025-12-31";"R1";"143";"Morwon";"CAPTEUR D’ESPRIT";"128016"
"2025-12-31";"R1";"144";"Minerve";"CAPTEUR D’ESPRIT";"126778"
"2025-12-31";"R1";"145";"BOSWER";"ABSORBEUR";"122743"
"2025-12-31";"R1";"146";"LORENZO";"CAPTEUR D’ESPRIT";"119237"
"2025-12-31";"R1";"147";"Greta";"CAPTEUR D’ESPRIT";"119025"
"2025-12-31";"R1";"148";"Negan";"DAMNÉ";"114644"
"2025-12-31";"R1";"149";"aylana";"CAPTEUR D’ESPRIT";"112470"
"2025-12-31";"R1";"150";"zuro";"CAPTEUR D’ESPRIT";"107439"
"2025-12-31";"R1";"151";"Ptitebuse";"CULTISTE";"106985"
"2025-12-31";"R1";"152";"Ozel";"ABSORBEUR";"105173"
"2025-12-31";"R1";"153";"Multi";"CULTISTE";"101221"
"2025-12-31";"R1";"154";"Mr6Pack";"ABSORBEUR";"94387"
"2025-12-31";"R1";"155";"pyrrhos claudia";"CULTISTE";"88910"
"2025-12-31";"R1";"156";"skarnshiva";"DAMNÉ";"87448"
"2025-12-31";"R1";"157";"Specialized666";"DAMNÉ";"86980"
"2025-12-31";"R1";"158";"vanlo";"ABSORBEUR";"84966"
"2025-12-31";"R1";"159";"Garnett";"CULTISTE";"84927"
"2025-12-31";"R1";"160";"tennec1";"DAMNÉ";"84911"
"2025-12-31";"R1";"161";"Aarnold";"CAPTEUR D’ESPRIT";"83456"
"2025-12-31";"R1";"162";"Matias";"CAPTEUR D’ESPRIT";"82921"
"2025-12-31";"R1";"163";"ten shin";"CULTISTE";"78524"
"2025-12-31";"R1";"164";"boub";"DAMNÉ";"75134"
"2025-12-31";"R1";"165";"Balouzaure";"CULTISTE";"74946"
"2025-12-31";"R1";"166";"Purgatory";"DAMNÉ";"74550"
"2025-12-31";"R1";"167";"lovekiller";"CULTISTE";"73018"
"2025-12-31";"R1";"168";"Maximilian";"ABSORBEUR";"70801"
"2025-12-31";"R1";"169";"Left4dead";"CULTISTE";"69432"
"2025-12-31";"R1";"170";"Elspartucus";"CULTISTE";"68706"
"2025-12-31";"R1";"171";"black-54700";"CULTISTE";"68487"
"2025-12-31";"R1";"172";"oim007";"ABSORBEUR";"66070"
"2025-12-31";"R1";"173";"Arbiter";"CULTISTE";"65532"
"2025-12-31";"R1";"174";"Aldebaran";"SEIGNEUR DES BÊTES";"65466"
"2025-12-31";"R1";"175";"Paddy";"DAMNÉ";"63527"
"2025-12-31";"R1";"176";"djedje38";"DAMNÉ";"61030"
"2025-12-31";"R1";"177";"Alexander Corvinus";"ABSORBEUR";"59705"
"2025-12-31";"R1";"178";"Chihiro";"SEIGNEUR DES BÊTES";"56459"
"2025-12-31";"R1";"179";"Raa";"DAMNÉ";"56328"
"2025-12-31";"R1";"180";"dirtydiana";"DAMNÉ";"55120"
"2025-12-31";"R1";"181";"bichettem";"CAPTEUR D’ESPRIT";"52919"
"2025-12-31";"R1";"182";"Eole";"SEIGNEUR DES BÊTES";"51656"
"2025-12-31";"R1";"183";"alinasoif";"CAPTEUR D’ESPRIT";"51136"
"2025-12-31";"R1";"184";"SimpleJ";"DAMNÉ";"50785"
"2025-12-31";"R1";"185";"chrisskiller";"DAMNÉ";"49686"
"2025-12-31";"R1";"186";"wednesday13";"DAMNÉ";"49674"
"2025-12-31";"R1";"187";"Guili";"DAMNÉ";"48142"
"2025-12-31";"R1";"188";"Arn03";"ABSORBEUR";"46841"
"2025-12-31";"R1";"189";"dablheim";"DAMNÉ";"45886"
"2025-12-31";"R1";"190";"Asher";"ABSORBEUR";"44576"
"2025-12-31";"R1";"191";"Yulrich";"DAMNÉ";"43870"
"2025-12-31";"R1";"192";"Siegomix";"CULTISTE";"43330"
"2025-12-31";"R1";"193";"Florimel";"CULTISTE";"43330"
